class;property;set/value;value;new class
Artist;currentmembers;set;;Band
Artist;pastmembers;set;;Band
Artist;occupation;value;actor;Actor
Artist;occupation;value;actress;Actor
Artist;occupation;value;singer;MusicalArtist
Artist;occupation;value;songwriter;MusicalArtist
MusicalArtist;Current_members;set;;Band
MusicalArtist;Past_members;set;;Band
Species;domain;value;Archaea;Archaea
Species;domain;value;[[Archaea]];Archaea
Species;color;value;#F3E0E0;Archaea
Species;color;value;F3E0E0;Archaea
Species;domain;value;Bacteria;Bacteria
Species;domain;value;[[Bacteria]];Bacteria
Species;domain;value;[[Bacterium|Bacteria]];Bacteria
Species;color;value;#D3D3D3;Bacteria
Species;color;value;D3D3D3;Bacteria
Species;domain;value;Eukaryota;Eukaryote
Species;domain;value;[[Eukarya]];Eukaryote
Species;domain;value;[[Eukaryota]];Eukaryote
Species;domain;value;[[Eukaryote|Eukaryota]];Eukaryote
Species;domain;value;[[Eukaryotic]];Eukaryote
Species;color;value;#E0D0B0;Eukaryote
Species;color;value;E0D0B0;Eukaryote
Species;regnum;value;Plantae;Plant
Species;regnum;value;[[Plantae]];Plant
Species;regnum;value;[[Plant]]ae;Plant
Species;color;value;#B2B7F2;Plant
Species;color;value;B2B7F2;Plant
Species;color;value;lightgreen;Plant
Species;regnum;value;Animalia;Animal
Species;regnum;value;[[Animalia]];Animal
Species;regnum;value;[[Animal]]ia;Animal
Species;regnum;value;[[Animals]]ia;Animal
Species;color;value;#D3D3A4;Animal
Species;color;value;D3D3A4;Animal
Species;regnum;value;Fungi;Fungus
Species;regnum;value;[[Fungi]];Fungus
Species;regnum;value;[[fungi]];Fungus
Species;regnum;value;[[Fungus|Fungi]];Fungus
Species;regnum;value;[[fungus|Fungi]];Fungus
Species;color;value;#ADD8E6;Fungus
Species;color;value;ADD8E6;Fungus
Species;color;value;lightblue;Fungus
Species;phylum;value;Mollusca;Mollusca
Species;phylum;value;[[Mollusca]];Mollusca
Species;phylum;value;[[Mollus]]a;Mollusca
Species;phylum;value;[[Mollusc]]a;Mollusca
Species;phylum;value;[[Mollusk|Mollusca]];Mollusca
Species;classis;value;[[Insecta]];Insect
Species;classis;value;[[Insect]]a;Insect
Species;class;value;[[Insect]]a;Insect
Species;classis;value;[[Arachnida]];Arachnid
Species;classis;value;[[Arachnid]]a;Arachnid
Species;subphylum;value;Crustacea;Crustacean
Species;subphylum;value;[[Crustacea]];Crustacean
Species;subphylum;value;[[Crustacean|Crustacea]];Crustacean
Species;classis;value;[[Crustacea]];Crustacean
Species;classis;value;Malacostraca;Crustacean
Species;classis;value;[[Malacostraca]];Crustacean
Species;class;value;[[Malacostraca]];Crustacean
Species;classis;value;Chondrichthyes;Fish
Species;classis;value;[[Chondrichthyes]];Fish
Species;classis;value;[[Elasmobranchii]];Fish
Species;classis;value;[[Holocephali]];Fish
Species;classis;value;[[Osteichthyes]];Fish
Species;classis;value;[[Osteostraci]];Fish
Species;classis;value;[[Actinopterygii]];Fish
Species;class;value;[[Actinoptergii]];Fish
Species;classis;value;[[ray-finned fish|Actinopterygii]];Fish
Species;classis;value;[[Sarcopterygii]];Fish
Species;classis;value;[[fish|Pisces]];Fish
Species;classis;value;[[Cephalaspidomorphi]];Fish
Species;classis;value;Amphibia;Amphibian
Species;classis;value;[[Amphibia]];Amphibian
Species;classis;value;[[Amphib]]ia;Amphibian
Species;classis;value;[[Amphibian|Amphibia]];Amphibian
Species;classis;value;[[Lissamphibia]];Amphibian
Species;classis;value;Reptilia;Reptile
Species;classis;value;[[Reptilia]];Reptile
Species;classis;value;[[Reptil]]ia;Reptile
Species;classis;value;[[Reptile|Reptilia]];Reptile
Species;classis;value;[[reptiles|Reptilia]];Reptile
Species;classis;value;[[Reptile|Sauropsida]];Reptile
Species;classis;value;[[reptile|Sauropsida]];Reptile
Species;classis;value;[[Sauropsida]];Reptile
Species;classis;value;[[Sauropsid]]a;Reptile
Species;classis;value;[[Anapsid]]a;Reptile
Species;classis;value;[[Anaspida]];Reptile
Species;classis;value;[[Synapsid]]a;Reptile
Species;classis;value;[[Diapsid]]a;Reptile
Species;classis;value;Aves;Bird
Species;classis;value;[[Aves]];Bird
Species;classis;value;[[Bird|Aves]];Bird
Species;classis;value;[[bird|Aves]];Bird
Species;classis;value;Mammalia;Mammal
Species;classis;value;[[Mammalia]];Mammal
Species;classis;value;[[Mammal]]ia;Mammal
Species;class;value;[[Mammal]]ia;Mammal
Species;classis;value;[[Mammaliformes]];Mammal
Species;divisio;value;[[Chlorophyta]];Green Alga
Species;divisio;value;[[Charophyta]];Green Alga
Species;divisio;value;[[Marchantiophyta]];Moss
Species;divisio;value;[[Anthocerotophyta]];Moss
Species;divisio;value;[[Bryophyta]];Moss
Species;divisio;value;[[Moss]];Moss
Species;divisio;value;[[Lycopodiophyta]];Club Moss
Species;divisio;value;[[Pteridophyta]];Fern
Species;divisio;value;[[Cycadophyta]];Cycad
Species;divisio;value;[[Ginkgophyta]];Ginkgo
Species;divisio;value;[[Pinophyta]];Conifer
Species;divisio;value;[[Gnetophyta]];Gnetophytes
Species;divisio;value;[[Magnoliophyta]];Flowering Plant
Species;divisio;value;[[Flowering plant|Magnoliophyta]];Flowering Plant
Species;divisio;value;[[flowering plant|Magnoliophyta]];Flowering Plant
Species;divisio;value;[[Angiosperms]];Flowering Plant
Species;divisio;value;[[Angiospermae]];Flowering Plant
Place;River;exists;;River
Place;Mountain;exists;;Mountain
