geo\time	2006q04 	2006q03 	2006q02 	2006q01 	2005q04 	2005q03 	2005q02 	2005q01 	2004q04 	2004q03 	2004q02 	2004q01 	2003q04 	2003q03 	2003q02 	2003q01 	2002q04 	2002q03 	2002q02 
ea	2133656.0 	2106253.0 	2082542.0 	2052129.7 	2031508.9 	2010610.8 	1987416.2 	1971922.6 	1954844.1 	1941679.5 	1930862.8 	1911372.1 	1891612.7 	1877027.7 	1851689.5 	1841593.3 	1835657.0 	1823984.8 	1803090.0 
ea13	2141363.2 	2113817.2 	2089962.1 	2059260.9 	2038575.9 	2017549.5 	1994266.6 	1978648.0 	1961451.3 	1948284.6 	1937269.1 	1917810.1 	1897957.5 	1883283.7 	1857854.7 	1847681.2 	1841692.7 	1829967.8 	1808986.8 
ea12	2133656.0 	2106253.0 	2082542.0 	2052129.7 	2031508.9 	2010610.8 	1987416.2 	1971922.6 	1954844.1 	1941679.5 	1930862.8 	1911372.1 	1891612.7 	1877027.7 	1851689.5 	1841593.3 	1835657.0 	1823984.8 	1803090.0 
eu27	2951790.5 	2903191.9 	2859330.9 	2819022.3 	2790971.9 	2752279.2 	2721444.9 	2688005.4 	2659072.3 	2647366.1 	2628210.1 	2584881.2 	2547221.1 	2523220.3 	2487015.4 	2489497.4 	2499421.1 	2479505.3 	2459759.3 
eu25	2919927.5 	2872017.2 	2829120.3 	2790052.8 	2763291.4 	2726180.3 	2696827.6 	2664968.2 	2637645.1 	2626831.3 	2608384.1 	2565951.9 	2528893.9 	2505324.8 	2469873.4 	2472482.2 	2482402.8 	2463068.5 	2443839.7 
eu15	2757569.2 	2717813.9 	2677828.6 	2639751.9 	2617375.8 	2584547.9 	2560207.4 	2528190.8 	2507530.4 	2501565.6 	2489356.2 	2451191.3 	2415339.1 	2392551.3 	2357026.7 	2359551.9 	2367096.8 	2351066.1 	2328184.4 
be	79812.4 	79147.6 	78041.1 	77184.6 	76041.4 	75177.6 	74191.5 	73704.0 	73410.6 	73137.1 	71718.0 	70684.8 	69694.5 	68978.2 	68182.3 	67697.4 	67279.7 	67297.0 	66746.8 
cz	29501.3 	28589.9 	27878.4 	27118.1 	26022.1 	25154.5 	24415.0 	24167.5 	22890.3 	22252.7 	21520.9 	20584.3 	20519.5 	20131.1 	20366.7 	19922.0 	20308.5 	20409.1 	20139.6 
dk	55288.2 	55310.0 	55082.4 	53864.9 	52751.1 	52721.6 	52080.1 	50713.3 	50343.7 	48962.8 	48543.5 	48308.7 	47834.9 	47103.9 	46706.8 	46855.8 	46610.4 	46491.6 	45834.8 
de	585560.0 	580640.0 	574620.0 	567570.0 	563470.0 	560890.0 	557200.0 	556000.0 	550430.0 	549820.0 	550410.0 	548970.0 	545500.0 	542390.0 	538200.0 	538330.0 	540420.0 	538310.0 	533680.0 
