geo\time	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 
de71	3769.0 	3762.4 	3755.1 	3742.5 	3727.7 	3711.2 	3700.3 	3696.1 	3689.6 	3677.3 
de72	1064.8 	1065.7 	1065.0 	1063.9 	1062.7 	1062.2 	1060.9 	1060.6 	1058.1 	1052.5 
de73	1259.7 	1262.5 	1264.9 	1266.5 	1267.9 	1270.1 	1272.2 	1272.8 	1270.9 	1265.5 
de80	1725.9 	1738.4 	1752.0 	1767.8 	1783.0 	1794.0 	1803.2 	1812.5 	1820.1 	1827.7 
de91	1660.8 	1664.0 	1666.6 	1667.1 	1668.8 	1669.7 	1671.8 	1675.8 	1678.7 	1679.1 
de92	2166.9 	2167.5 	2166.8 	2161.3 	2156.9 	2150.7 	2149.6 	2148.6 	2142.9 	2134.7 
de93	1700.7 	1695.3 	1687.5 	1677.0 	1666.0 	1653.3 	1638.3 	1623.5 	1609.2 	1591.6 
de94	2468.8 	2460.1 	2448.8 	2434.2 	2419.7 	2408.6 	2395.9 	2382.3 	2367.0 	2342.4 
dea1	5241.5 	5247.2 	5252.1 	5254.4 	5257.9 	5266.8 	5277.0 	5287.9 	5290.8 	5289.0 
dea2	4357.1 	4340.9 	4320.0 	4294.9 	4270.2 	4256.5 	4242.7 	4226.1 	4202.4 	4175.3 
dea3	2625.1 	2625.7 	2622.5 	2615.3 	2610.3 	2604.6 	2597.8 	2590.8 	2580.0 	2565.9 
dea4	2072.1 	2070.5 	2066.2 	2058.9 	2052.1 	2045.0 	2038.6 	2031.3 	2019.8 	2002.0 
dea5	3781.7 	3793.7 	3802.2 	3803.6 	3809.4 	3814.7 	3818.9 	3825.0 	3827.4 	3822.4 
deb1	1527.7 	1527.8 	1525.3 	1521.7 	1517.6 	1514.3 	1510.0 	1503.7 	1494.8 	1483.5 
deb2	513.8 	513.7 	512.8 	512.3 	510.8 	511.0 	509.8 	508.4 	506.5 	503.9 
deb3	2018.4 	2016.7 	2013.5 	2007.2 	2002.0 	2002.6 	2001.5 	1997.1 	1987.9 	1977.4 
dec0	1058.9 	1063.2 	1065.4 	1067.3 	1069.7 	1072.9 	1077.5 	1082.5 	1084.3 	1084.3 
ded1	1560.8 	1576.5 	1593.8 	1612.4 	1630.5 	1646.8 	1662.5 	1676.3 	1687.7 	1699.1 
ded2	1671.0 	1678.7 	1689.0 	1704.1 	1718.5 	1730.3 	1741.9 	1751.6 	1758.4 	1762.6 
ded3	1077.1 	1080.0 	1083.0 	1088.2 	1093.7 	1097.4 	1101.5 	1106.1 	1110.1 	1113.8 
dee1	513.3 	521.2 	529.5 	538.6 	548.3 	555.6 	562.0 	567.7 	571.7 	575.2 
dee2	829.2 	836.7 	845.8 	857.8 	870.2 	880.9 	890.1 	898.8 	906.2 	913.3 
dee3	1166.1 	1178.0 	1189.5 	1202.0 	1214.6 	1225.1 	1236.0 	1246.2 	1253.4 	1260.5 
def0	2826.0 	2819.8 	2810.1 	2795.9 	2782.3 	2771.7 	2761.3 	2749.4 	2733.9 	2716.9 
deg0	2364.2 	2382.6 	2401.8 	2421.0 	2440.3 	2456.0 	2448.3 	2484.6 	2497.5 	2510.9 
ee	1349.3 	1353.6 	1358.6 	1364.1 	1369.5 	1375.7 	1386.2 	1399.5 	1415.6 	1436.6 
ee00	1349.3 	1353.6 	1358.6 	1364.1 	1369.5 	1375.7 	1386.2 	1399.5 	1415.6 	1436.6 
ie	4068.5 	3995.7 	3917.2 	3838.9 	3786.9 	3744.7 	3704.9 	3660.6 	3626.1 	3601.3 
ie01	1086.0 	1063.3 	1038.2 	1011.9 	999.3 i	986.9 	978.8 	970.3 	965.2 	960.2 
ie02	2982.5 	2932.4 	2878.9 	2827.0 	2787.6 i	2757.8 	2726.0 	2690.2 	2660.9 	2641.1 
gr	11061.7 	11023.5 	10987.6 	10950.0 	10917.5 	10882.6 	10834.9 	10776.5 	10709.2 	10634.4 
gr11	606.7 	605.9 	606.5 	606.8 	606.1 	603.9 	601.4 	598.5 	595.3 	591.8 
gr12	1910.4 	1905.6 	1895.3 	1881.9 	1870.8 	1861.0 	1849.8 	1837.1 	1822.9 	1807.5 
gr13	294.5 	294.7 	294.7 	294.5 	294.3 	294.1 	293.8 	293.5 	293.0 	292.4 
gr14	737.5 	737.8 	738.7 	739.8 	741.1 	742.1 	742.6 	742.5 	741.9 	740.8 
gr21	341.4 	339.4 	337.6 	336.9 	336.5 	336.3 	335.9 	335.2 	334.3 	333.3 
gr22	219.5 	217.4 	214.7 	211.3 	209.1 	208.1 	207.0 	205.8 	204.4 	202.6 
gr23	731.3 	729.2 	726.4 	723.2 	721.9 	721.8 	721.1 	719.8 	717.9 	715.3 
gr24	558.9 	560.1 	560.3 	559.2 	559.7 	561.1 	561.4 	560.9 	559.6 	557.9 
gr25	598.7 	600.3 	600.5 	598.8 	598.2 	598.1 	596.9 	595.0 	592.4 	589.3 
gr30	3956.7 	3928.0 	3910.1 	3898.4 	3885.4 	3867.9 	3844.7 	3817.0 	3786.0 	3752.6 
gr41	202.8 	203.6 	204.3 	204.9 	205.1 	204.8 	204.4 	204.0 	203.5 	203.1 
gr42	302.8 	302.1 	300.9 	299.1 	297.0 	294.5 	291.5 	288.1 	284.4 	280.2 
gr43	600.6 	599.4 	597.7 	595.2 	592.4 	588.8 	584.4 	579.2 	573.6 	567.6 
es	42691.7 	42004.5 	41314.0 	40720.5 	40263.2 	39926.3 	39721.1 	39582.4 	39478.2 	39387.0 
es11	2709.1 	2703.0 	2696.8 	2695.5 	2690.9 	2686.8 	2691.8 	2698.6 	2707.1 	2715.5 
es12	1059.6 	1060.1 	1061.1 	1062.6 	1063.2 	1065.1 	1069.4 	1073.9 	1077.9 	1082.0 
