indic_na,currency,geo\time	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 
be	15478.3 	15183.2 	15196.4 	15086.4 	14483.1 	13775.0 	13389.2 	13042.4 	13214.9 	13491.7 
cz	4244.9 	4111.8 	4067.1 	3515.9 	3185.4 	2949.9 	2894.5 	2741.5 	2564.5 	2265.4 
dk	16491.2 i	16026.5 i	15311.0 i	14852.6 i	14046.2 i	13685.3 i	13757.2 i	13256.8 i	13253.1 i	13002.4 i
de	17543.9 i	17180.4 i	16834.3 i	16688.0 i	16087.0 i	15660.7 i	15176.4 i	14961.3 i	15165.1 i	15184.7 i
ee	3474.6 	3203.9 	2977.0 	2622.7 	2318.6 	2164.1 	2060.8 	1775.8 	1519.5 	1101.2 
ie	17151.7 i	16432.6 i	15825.2 i	14616.2 i	13021.5 i	11745.0 i	11157.3 i	10470.8 i	9022.3 i	8085.3 i
gr	12654.6 s	11812.9 s	10949.6 s	10421.9 s	9969.5 s	8889.5 	7840.9 s	7853.9 s	7369.4 s	6936.0 s
es	11794.3 i	11207.2 i	10726.8 i	10263.0 i	9746.1 i	8746.7 i	8299.6 i	7985.9 i	7892.3 i	7401.2 i
fr	16810.5 	16259.1 i	15962.7 i	15346.7 i	14177.2 is	13618.0 is	13161.6 is	12731.5 is	12632.7 is	12380.8 is
it	14400.3 p	13965.8 p	13644.4 p	13244.5 p	12616.5 p	12790.9 	12530.5 	12455.1 	12125.3 	10445.0 
lv	2868.0 	2581.8 	2497.8 	2349.7 	2153.2 	1654.7 	1486.1 	1421.5 	1129.4 	847.7 
lt	3287.6 	2937.7 	2691.6 	2489.5 	2270.5 	1881.2 	1782.7 	1505.3 	1105.0 	865.6 
hu	4814.7 	4310.7 	4119.7 	3489.8 	2982.0 	: 	: 	: 	: 	: 
nl	14319.5 p	14233.3 	14339.1 	13395.8 	12279.3 i	11892.1 i	11504.2 i	11024.9 i	10849.7 i	10591.4 i
at	17732.4 i	17175.8 i	16623.6 i	16452.0 i	16234.5 i	15345.9 i	14784.7 i	14413.0 i	14817.9 i	14752.5 i
pl	3522.3 	3398.3 	3807.6 	3910.7 	3326.5 	2812.2 	2768.2 	2502.1 	2215.9 	1919.0 
pt	: 	8560.5 i	8289.0 i	8009.8 i	7607.5 i	6555.6 	6171.7 	5819.9 	5670.2 	5441.6 
ro	1773.2 	1382.0 	1442.5 	1325.3 	1237.2 	987.7 	981.4 	: 	: 	: 
sk	3549.1 	3121.8 	2836.9 	2582.1 	2402.1 	2103.1 	2161.4 	2019.1 	1743.0 	1520.6 
fi	14539.1 	13897.8 	13204.4 	12602.2 	11827.1 	11438.1 	10784.1 	10466.7 	9934.0 	10133.1 
se	15792.6 i	15516.2 i	15053.6 i	14211.6 i	14388.1 i	13068.3 i	12431.1 i	12501.0 i	12565.8 i	11474.9 i
uk	17812.6 ei	17070.4 ei	18041.4 ei	17774.5 ei	17077.2 ei	15029.7 ei	14100.5 ei	13282.7 ei	10660.7 ei	9929.3 ei
be10	14976.9 	14932.9 	15036.8 	15116.2 	14593.1 	13863.9 	13565.8 	13260.1 	13235.4 	13694.0 
be21	16149.3 	15890.4 	15882.3 	15744.7 	15038.5 	14238.9 	13872.1 	13462.3 	13676.0 	13830.2 
be22	14852.5 	14544.6 	14475.1 	14359.9 	13557.2 	12781.7 	12384.3 	12063.1 	12373.0 	12703.1 
be23	16364.7 	15950.5 	16010.8 	15866.8 	15191.9 	14414.6 	13986.0 	13560.7 	13728.8 	13949.9 
be24	18780.0 	18445.6 	18429.4 	18097.2 	17335.9 	16501.3 	16087.3 	15546.4 	15573.6 	15871.1 
be25	15505.2 	15130.9 	15128.7 	15061.2 	14478.9 	13615.2 	13308.0 	12968.0 	13237.5 	13529.5 
be31	17850.9 	17515.0 	17635.0 	17342.3 	16788.2 	16178.1 	15569.4 	15149.4 	15082.1 	15397.0 
be32	13319.2 	13110.2 	13081.7 	13016.0 	12639.2 	12000.4 	11648.0 	11355.7 	11577.1 	11855.6 
be33	13807.8 	13465.6 	13478.4 	13370.0 	12955.9 	12444.8 	11995.7 	11778.4 	12031.0 	12217.6 
be34	13395.1 	12757.7 	12736.5 	12883.8 	12153.6 	12100.7 	11886.0 	11728.1 	11870.2 	12306.2 
be35	13936.4 	13676.1 	13686.3 	13592.8 	13081.8 	12698.3 	12218.5 	11939.9 	12081.3 	12394.8 
