indic_na,currency,geo\time	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 
cz01	5785.8 	5687.1 	5537.8 	4763.1 	4241.5 	3920.9 	3765.5 	3471.0 	3209.3 	2801.0 
cz02	4562.3 	4424.8 	4330.7 	3635.2 	3333.4 	3124.1 	3031.9 	2801.9 	2629.2 	2327.2 
cz03	4185.5 	4045.2 	3974.9 	3478.4 	3142.1 	2899.5 	2844.5 	2733.6 	2564.3 	2257.1 
cz04	3776.7 	3697.6 	3651.8 	3218.0 	2966.0 	2735.6 	2705.4 	2611.7 	2446.7 	2173.3 
cz05	4022.7 	3865.3 	3898.1 	3372.5 	3065.8 	2821.1 	2792.5 	2663.0 	2449.6 	2185.3 
cz06	4095.6 	3900.9 	3868.0 	3355.7 	3022.3 	2793.5 	2741.1 	2595.1 	2446.4 	2165.7 
cz07	3908.6 	3821.9 	3792.8 	3263.8 	2958.6 	2742.1 	2716.8 	2576.7 	2392.1 	2125.7 
cz08	3785.5 	3655.2 	3662.4 	3184.6 	2884.0 	2687.0 	2665.7 	2568.5 	2460.7 	2153.7 
dk00	16491.2 i	16026.5 i	15311.0 i	14852.6 i	14046.2 i	13685.3 i	13757.2 i	13256.8 i	13253.1 i	13002.4 i
de11	19913.4 i	19476.2 i	18941.0 i	18829.5 i	18107.3 i	17672.8 i	17137.7 i	16805.1 i	16816.7 i	16918.6 i
de12	19011.7 i	18619.8 i	18128.4 i	17971.3 i	17204.7 i	16693.3 i	16127.4 i	15913.1 i	16012.6 i	16134.8 i
de13	18415.2 i	18057.5 i	17556.5 i	17444.8 i	16749.2 i	16317.6 i	15770.4 i	15531.3 i	15578.6 i	15655.3 i
de14	19073.8 i	18654.3 i	18135.5 i	18025.4 i	17225.3 i	16719.8 i	16144.6 i	15818.0 i	15800.4 i	15834.5 i
de21	20391.3 i	19890.5 i	19535.5 i	19440.6 i	18794.3 i	18413.9 i	17864.1 i	17401.1 i	17520.1 i	17565.1 i
de22	16369.3 i	15916.7 i	15534.8 i	15443.7 i	14882.7 i	14554.0 i	14174.0 i	13965.1 i	14229.5 i	14331.8 i
de23	16800.4 i	16381.0 i	15971.4 i	15825.1 i	15176.0 i	14772.4 i	14350.1 i	14141.7 i	14401.0 i	14505.4 i
de24	17500.6 i	17058.9 i	16614.0 i	16395.0 i	15901.7 i	15638.1 i	15351.5 i	15155.1 i	15500.7 i	15706.1 i
de25	18730.5 i	18296.1 i	17878.8 i	17692.6 i	17097.9 i	16726.5 i	16315.0 i	15998.7 i	16259.9 i	16409.6 i
de26	17354.5 i	16919.0 i	16494.9 i	16301.6 i	15653.0 i	15230.8 i	14815.7 i	14658.9 i	15015.7 i	15244.8 i
de27	17997.2 i	17553.1 i	17140.3 i	16993.1 i	16355.4 i	15932.2 i	15464.8 i	15185.5 i	15420.9 i	15512.8 i
de30	14737.6 i	14634.5 i	14377.0 i	14412.8 i	14295.6 i	14233.4 i	13805.2 i	13968.2 i	14508.1 i	14875.9 i
de41	14703.6 i	14355.0 i	14071.5 i	13886.2 i	13396.0 i	13067.3 i	12529.6 i	12373.3 i	12455.6 i	11953.5 i
de42	14967.1 i	14662.0 i	14354.1 i	14154.2 i	13708.4 i	13293.0 i	12795.4 i	12640.5 i	12784.6 i	12337.1 i
de50	19517.4 i	19400.7 i	19291.1 i	19654.6 i	18923.6 i	18302.0 i	17901.0 i	17627.1 i	17555.6 i	17666.5 i
de60	23081.2 i	22225.7 i	21490.8 i	20390.3 i	19224.0 i	18511.6 i	18081.6 i	17972.0 i	18198.7 i	18402.1 i
de71	19220.3 i	18710.6 i	18231.5 i	17956.8 i	17148.6 i	16773.6 i	16237.2 i	16092.8 i	16456.4 i	16609.3 i
de72	17151.2 i	16699.1 i	16204.8 i	15980.7 i	15298.7 i	15017.5 i	14478.1 i	14247.4 i	14656.0 i	14590.5 i
de73	16881.2 i	16507.1 i	15855.9 i	15614.6 i	14900.9 i	14605.2 i	14117.3 i	13991.5 i	14363.2 i	14416.7 i
de80	13950.3 i	13700.4 i	13464.1 i	13272.9 i	12832.2 i	12473.0 i	11874.6 i	11702.0 i	11778.0 i	11454.1 i
de91	16695.5 i	16426.1 i	16052.5 i	15877.2 i	15486.5 i	15196.8 i	14782.1 i	14660.7 i	14962.9 i	15042.6 i
de92	17485.4 i	17198.7 i	16806.4 i	16716.7 i	16251.0 i	15876.0 i	15372.0 i	15227.6 i	15507.5 i	15597.5 i
de93	17496.0 i	17144.9 i	16749.1 i	16708.9 i	16169.8 i	15789.8 i	15354.8 i	15260.5 i	15520.0 i	15633.4 i
de94	16024.4 i	15738.4 i	15401.5 i	15443.2 i	14908.4 i	14458.0 i	13919.4 i	13828.7 i	14020.2 i	14042.4 i
dea1	18830.4 i	18407.2 i	18190.9 i	18144.7 i	17522.5 i	17029.2 i	16652.3 i	16382.9 i	16611.1 i	16712.9 i
dea2	18378.1 i	18007.7 i	17852.8 i	17905.5 i	17196.1 i	16586.0 i	16103.0 i	15865.6 i	16044.4 i	16144.8 i
dea3	17302.6 i	16915.4 i	16708.2 i	16729.5 i	16105.0 i	15602.2 i	15219.1 i	14952.3 i	15090.4 i	15132.4 i
dea4	19036.0 i	18626.3 i	18439.7 i	18481.1 i	17787.1 i	17242.9 i	16843.3 i	16633.8 i	16791.9 i	17005.3 i
dea5	18154.8 i	17750.7 i	17497.0 i	17453.9 i	16795.5 i	16264.2 i	15870.8 i	15655.9 i	15888.3 i	16041.9 i
deb1	16767.4 i	16494.2 i	16216.5 i	16035.9 i	15631.8 i	15165.9 i	14743.4 i	14593.6 i	14908.0 i	14981.6 i
deb2	16063.4 i	15711.4 i	15456.4 i	15301.5 i	14767.0 i	14201.9 i	13752.4 i	13574.7 i	13843.1 i	13805.0 i
deb3	17065.4 i	16801.5 i	16549.8 i	16380.9 i	15867.6 i	15296.6 i	14829.2 i	14653.2 i	14990.2 i	15003.0 i
dec0	17116.3 i	16572.0 i	16101.1 i	16209.0 i	15414.5 i	14883.6 i	14104.8 i	13794.5 i	14007.1 i	13999.9 i
ded1	15006.8 i	14779.3 i	14439.0 i	14083.0 i	13573.9 i	13127.4 i	12479.9 i	12251.0 i	12329.4 i	11871.2 i
ded2	14899.7 i	14682.6 i	14343.7 i	13969.4 i	13496.9 i	13118.2 i	12539.0 i	12339.8 i	12477.3 i	12073.8 i
ded3	14655.4 i	14440.8 i	14151.5 i	13853.8 i	13415.7 i	13107.2 i	12538.2 i	12382.7 i	12514.6 i	12117.4 i
dee1	14081.3 i	13913.9 i	13537.3 i	13223.1 i	12872.5 i	12572.2 i	12075.7 i	11876.2 i	12318.1 i	12035.7 i
dee2	14304.0 i	14162.2 i	13899.3 i	13550.8 i	13152.1 i	12799.2 i	12213.8 i	12047.6 i	12313.6 i	12055.5 i
dee3	14152.7 i	13987.5 i	13710.9 i	13535.7 i	13131.8 i	12771.6 i	12104.8 i	11890.6 i	11753.6 i	11401.0 i
def0	16633.5 i	16427.9 i	16373.1 i	16116.0 i	15684.4 i	15465.9 i	15229.1 i	15083.7 i	15405.6 i	15414.6 i
deg0	14293.6 i	14189.5 i	13925.4 i	13724.0 i	13265.9 i	12858.4 i	12264.2 i	11800.2 i	11881.1 i	11542.5 i
ee00	3474.6 	3203.9 	2977.0 	2622.7 	2318.6 	2164.1 	2060.8 	1775.8 	1519.5 	1101.2 
ie01	16099.0 i	15228.0 i	14498.1 i	13438.4 i	11834.6 i	10608.8 i	10006.4 i	9499.1 i	8094.8 i	7215.2 i
ie02	17534.7 i	16869.4 i	16304.3 i	15037.8 i	13446.9 i	12151.6 i	11570.9 i	10821.6 i	9358.8 i	8401.6 i
gr11	10042.9 s	9763.1 s	9256.1 s	8748.7 s	8304.1 s	7320.3 	6082.5 s	6427.2 s	5944.4 s	5235.2 s
gr12	11468.6 s	9768.6 s	8587.0 s	8319.7 s	8022.3 s	7304.5 	6519.7 s	6812.7 s	6481.2 s	6084.0 s
gr13	10004.3 s	15441.0 s	14747.8 s	13982.9 s	13442.2 s	12103.3 	11146.8 s	11567.4 s	10399.0 s	9095.9 s
gr14	10361.6 s	10472.7 s	9703.8 s	9216.0 s	8827.6 s	8053.4 	7051.6 s	7442.1 s	7055.3 s	6684.6 s
gr21	9464.2 s	10552.0 s	10277.7 s	9899.8 s	9678.9 s	8644.3 	7701.2 s	7786.8 s	6953.1 s	5641.3 s
gr22	6197.0 s	11030.5 s	10747.1 s	10485.8 s	10397.0 s	8889.3 	8169.5 s	8075.8 s	7294.0 s	6752.9 s
gr23	8541.5 s	10069.6 s	9562.4 s	9168.3 s	8842.6 s	8024.3 	7003.0 s	7100.1 s	6794.7 s	6447.2 s
gr24	10514.1 s	12915.2 s	12307.1 s	11685.9 s	11199.3 s	9893.1 	8824.6 s	9290.7 s	7134.5 s	6904.3 s
gr25	9799.4 s	9083.3 s	8286.5 s	7898.6 s	7618.1 s	6837.2 	6227.7 s	6301.8 s	6434.4 s	5763.0 s
gr30	17017.8 s	13904.9 s	12938.8 s	12183.5 s	11469.7 s	10226.6 	8947.8 s	8627.2 s	8166.5 s	7901.8 s
gr41	10344.0 s	10446.3 s	9908.4 s	9560.9 s	9527.3 s	8428.8 	7652.1 s	6935.4 s	6840.5 s	6525.3 s
gr42	10296.7 s	12690.8 s	11838.2 s	11499.7 s	11430.6 s	8771.0 	7266.9 s	7223.3 s	6657.9 s	5968.3 s
gr43	10424.5 s	11385.5 s	10262.2 s	9875.3 s	9707.7 s	8723.2 	7944.6 s	7917.2 s	7991.7 s	7568.0 s
es11	10496.3 i	9860.3 i	9293.5 i	8787.5 i	8313.7 i	7650.8 i	7276.4 i	7015.8 i	6929.2 i	6501.6 i
es12	11626.8 i	10911.0 i	10360.8 i	9749.0 i	9134.5 i	8155.2 i	7913.0 i	7551.2 i	7423.9 i	7079.1 i
es13	12120.4 i	11446.8 i	10927.9 i	10256.1 i	9638.0 i	8834.1 i	8322.4 i	7867.1 i	7854.5 i	7378.9 i
es21	14951.8 i	14156.5 i	13406.7 i	12757.1 i	11989.7 i	10898.5 i	10263.8 i	9705.6 i	9510.6 i	8965.7 i
es22	14985.8 i	14119.9 i	13567.7 i	12955.2 i	12252.4 i	10467.3 i	10060.0 i	9794.4 i	9722.9 i	9182.4 i
es23	13004.3 i	12453.4 i	11979.3 i	11596.2 i	11146.1 i	9856.7 i	9433.6 i	9101.5 i	8907.8 i	8338.6 i
es24	12850.0 i	12281.4 i	11799.9 i	11052.5 i	10488.0 i	9340.9 i	8953.0 i	8791.6 i	8708.7 i	8104.1 i
es30	14246.6 i	13496.0 i	13065.5 i	12661.8 i	12115.9 i	10504.5 i	9951.6 i	9432.2 i	9270.5 i	8810.9 i
es41	11722.1 i	11061.5 i	10519.5 i	10083.2 i	9347.2 i	8571.8 i	8182.9 i	7959.6 i	7838.1 i	7282.1 i
es42	9909.2 i	9481.2 i	9092.0 i	8625.2 i	8111.7 i	7506.6 i	7229.6 i	6906.9 i	6844.6 i	6326.3 i
es43	8895.5 i	8406.3 i	7978.2 i	7574.4 i	7067.4 i	6532.1 i	6131.0 i	5828.0 i	5756.0 i	5367.0 i
es51	13487.8 i	12831.0 i	12241.1 i	11744.4 i	11277.1 i	10036.6 i	9458.9 i	9203.2 i	9240.9 i	8619.9 i
es52	10974.6 i	10590.2 i	10215.1 i	9883.5 i	9510.9 i	8484.0 i	8068.5 i	7780.2 i	7582.3 i	7136.0 i
es53	13154.4 i	12497.2 i	12336.3 i	12094.4 i	11601.3 i	10154.6 i	9842.3 i	9603.4 i	9307.4 i	8846.4 i
es61	9412.3 i	8927.7 i	8459.4 i	8067.9 i	7598.1 i	6963.2 i	6618.9 i	6392.4 i	6341.5 i	5885.9 i
es62	9622.2 i	9299.9 i	9201.2 i	8611.9 i	8176.7 i	7269.9 i	6964.9 i	6703.7 i	6509.6 i	6095.3 i
es63	11646.8 i	10825.6 i	9962.0 i	9406.8 i	9114.1 i	: 	: 	: 	: 	: 
es64	11709.1 i	10719.3 i	10126.0 i	9662.9 i	9161.2 i	: 	: 	: 	: 	: 
es70	10577.1 i	10173.4 i	9797.2 i	9358.7 i	8948.6 i	8288.5 i	7649.0 i	7295.6 i	7265.5 i	6864.3 i
fr10	20912.0 	20189.3 i	19979.7 i	18972.7 i	17533.5 is	16833.5 is	16107.8 is	15557.1 is	15410.3 is	15279.8 is
fr21	15911.5 	15247.9 i	15039.2 i	14390.8 i	13604.5 is	12986.7 is	12590.6 is	12120.0 is	12123.9 is	11813.3 is
fr22	16111.8 	15506.2 i	15139.1 i	14519.9 i	13472.0 is	12958.4 is	12667.3 is	12145.9 is	12156.3 is	11916.2 is
fr23	16464.7 	15863.1 i	15461.0 i	14874.8 i	13687.7 is	13130.3 is	12831.8 is	12342.8 is	12425.3 is	12139.2 is
fr24	16880.7 	16291.1 i	15932.7 i	15329.6 i	14171.1 is	13560.0 is	13151.0 is	12783.4 is	12664.9 is	12430.1 is
fr25	15678.3 	15129.7 i	14736.5 i	14170.9 i	13102.5 is	12580.5 is	12314.4 is	12060.4 is	12026.7 is	11726.8 is
fr26	16654.5 	15988.4 i	15644.1 i	15039.4 i	14138.7 is	13668.0 is	13309.4 is	12972.9 is	12752.5 is	12406.1 is
fr30	14103.7 	13541.5 i	13273.7 i	12798.6 i	11734.8 is	11153.9 is	10818.1 is	10420.9 is	10471.3 is	10331.9 is
fr41	16035.4 	15390.9 i	15130.0 i	14633.6 i	13240.1 is	12762.9 is	12371.2 is	11919.2 is	11989.2 is	11715.7 is
fr42	17112.9 	16487.4 i	16273.3 i	15734.3 i	14210.0 is	13702.8 is	13344.3 is	12824.2 is	12893.7 is	12638.4 is
fr43	16445.9 	15835.1 i	15560.7 i	14958.0 i	13683.9 is	13080.9 is	12708.0 is	12202.1 is	12224.4 is	11892.7 is
fr51	15720.6 	15290.5 i	15025.9 i	14560.3 i	13410.2 is	12849.5 is	12374.9 is	12042.7 is	11979.7 is	11602.8 is
fr52	15536.5 	15137.4 i	14853.6 i	14539.6 i	13355.0 is	12804.8 is	12417.9 is	12158.7 is	11978.9 is	11507.6 is
fr53	15766.1 	15273.3 i	15009.1 i	14410.4 i	13361.1 is	12824.9 is	12409.5 is	12102.8 is	11950.7 is	11701.9 is
fr61	16118.9 	15658.3 i	15444.8 i	14939.6 i	13759.1 is	13336.2 is	12950.8 is	12701.7 is	12364.8 is	12070.3 is
fr62	15728.2 	15312.5 i	15128.7 i	14625.7 i	13515.3 is	12964.5 is	12419.5 is	12163.5 is	11949.9 is	11649.4 is
fr63	16510.4 	15880.3 i	15571.3 i	15055.2 i	14007.8 is	13402.3 is	13062.2 is	12474.7 is	12336.2 is	12075.4 is
fr71	17003.0 	16516.3 i	16263.1 i	15680.5 i	14470.4 is	13932.5 is	13436.6 is	12912.0 is	12846.1 is	12591.6 is
fr72	16396.8 	15794.9 i	15441.3 i	14856.9 i	13838.7 is	13356.4 is	12961.6 is	12528.1 is	12361.4 is	12020.9 is
fr81	14897.3 	14544.1 i	14267.1 i	13765.7 i	12792.7 is	12410.0 is	11980.3 is	11552.0 is	11377.7 is	11222.5 is
fr82	16582.4 	16121.5 i	15794.7 i	15206.1 i	14075.1 is	13441.4 is	12988.6 is	12636.6 is	12598.4 is	12297.5 is
fr83	14775.8 	14502.7 i	14027.2 i	13407.4 i	12346.6 is	12085.3 is	11818.6 is	11047.4 is	10551.7 is	10475.6 is
fr91	: 	: 	: 	: 	8849.3 s	8638.0 s	8338.8 s	7820.9 s	7528.1 s	: 
fr92	: 	: 	: 	: 	9901.4 s	9502.9 s	9398.6 s	8488.3 s	8139.5 s	: 
fr93	: 	: 	: 	: 	7614.5 s	7622.8 s	7538.2 s	6704.8 s	6463.8 s	: 
fr94	: 	: 	: 	: 	9061.2 s	8727.8 s	8504.8 s	8056.6 s	7756.1 s	: 
itc1	16458.1 p	15998.2 p	15617.0 p	15183.5 p	14463.7 p	14812.9 	14433.6 	14652.6 	14273.8 	12425.9 
itc2	17402.5 p	16851.2 p	16618.4 p	16064.4 p	15339.2 p	15547.4 	15511.2 	15528.2 	15439.5 	13413.8 
itc3	16678.7 p	16114.7 p	15531.1 p	15207.1 p	14229.4 p	14473.6 	14422.9 	14367.5 	13850.3 	11852.6 
itc4	17466.7 p	17042.8 p	16715.0 p	16154.2 p	15355.8 p	15718.5 	15476.2 	15499.9 	15286.9 	13184.9 
itd1	17917.1 p	17029.2 p	17091.1 p	16785.7 p	16125.1 p	: 	: 	: 	: 	: 
itd2	16044.5 p	15948.9 p	16035.1 p	15761.5 p	14976.2 p	: 	: 	: 	: 	: 
itd3	15275.4 p	14856.1 p	14598.7 p	14322.9 p	13615.4 p	13879.4 	13549.0 	13695.2 	13418.7 	11546.1 
itd4	16514.2 p	15953.8 p	15374.7 p	14596.4 p	13918.3 p	14093.1 	13719.2 	13763.8 	13682.0 	11902.2 
itd5	17662.6 p	17208.6 p	16847.4 p	16374.4 p	15708.7 p	15834.3 	15696.9 	15809.4 	15807.7 	13559.9 
ite1	15802.4 p	15343.4 p	14982.0 p	14681.0 p	14003.1 p	14189.1 	13724.3 	13684.4 	13466.3 	11451.8 
ite2	14508.8 p	14128.8 p	13855.6 p	13615.5 p	13198.8 p	13307.2 	12825.9 	12814.0 	12407.3 	10706.7 
ite3	14585.2 p	14155.2 p	13815.2 p	13447.3 p	12922.3 p	13183.1 	12695.8 	12756.3 	12547.9 	10743.7 
ite4	15588.8 p	15175.4 p	15027.0 p	14479.8 p	13647.9 p	13876.4 	13825.1 	13418.4 	12813.1 	11226.8 
itf1	12392.2 p	12019.5 p	11974.8 p	11664.8 p	11275.5 p	11169.4 	10967.3 	10910.9 	10679.1 	9165.2 
itf2	12304.8 p	11815.0 p	11647.4 p	11271.5 p	10779.8 p	10817.9 	10425.8 	10430.7 	9786.8 	8087.9 
itf3	10348.0 p	9992.8 p	9681.9 p	9315.9 p	8913.8 p	8972.8 	8835.8 	8507.4 	8100.2 	7009.8 
itf4	10767.3 p	10388.9 p	9984.3 p	9634.3 p	9205.7 p	9255.7 	8898.2 	8824.9 	8578.5 	7319.5 
itf5	10908.7 p	10462.2 p	10183.5 p	9900.2 p	9830.0 p	10029.3 	9407.4 	9019.2 	8778.6 	7347.7 
itf6	10480.0 p	10057.9 p	9694.8 p	9448.4 p	9079.1 p	9202.8 	8804.2 	8633.4 	8086.2 	7097.6 
itg1	10383.8 p	10002.8 p	9732.3 p	9550.2 p	9126.5 p	9142.7 	8989.6 	8853.8 	8367.5 	7107.5 
itg2	11720.7 p	11287.7 p	10905.3 p	10563.9 p	9972.5 p	10037.3 	9769.1 	9633.7 	9032.0 	7764.8 
lv00	2868.0 	2581.8 	2497.8 	2349.7 	2153.2 	1654.7 	1486.1 	1421.5 	1129.4 	847.7 
lt00	3287.6 	2937.7 	2691.6 	2489.5 	2270.5 	1881.2 	1782.7 	1505.3 	1105.0 	865.6 
hu10	6749.1 	6019.0 	5528.2 	4519.8 	3988.3 	: 	: 	: 	: 	: 
hu21	4426.3 	4136.3 	4104.6 	3515.5 	2973.4 	: 	: 	: 	: 	: 
hu22	4900.7 	4380.1 	4361.0 	3686.5 	3221.2 	: 	: 	: 	: 	: 
hu23	4023.8 	3780.6 	4015.9 	3592.1 	3008.8 	: 	: 	: 	: 	: 
hu31	4343.2 	3268.7 	3118.7 	2653.5 	2208.8 	: 	: 	: 	: 	: 
hu32	3393.7 	3245.4 	3043.5 	2585.3 	2123.6 	: 	: 	: 	: 	: 
hu33	3659.9 	3436.5 	3292.0 	2949.2 	2429.9 	: 	: 	: 	: 	: 
nl11	13023.5 p	13198.1 	12917.5 	11909.9 	11364.3 	11237.4 	10650.0 	10295.1 	10198.7 	9992.5 
nl12	12782.8 p	12905.2 	12929.6 	12361.1 	11667.1 	11383.1 	10662.6 	9976.4 	10061.5 	10021.0 
nl13	13539.1 p	13443.4 	13272.0 	12531.5 	11750.2 	11760.9 	11124.7 	10579.8 	10392.2 	10172.8 
nl21	13081.4 p	13114.3 	12972.9 	12143.5 	11407.5 	11079.1 	10523.2 	10136.4 	9911.8 	9686.3 
nl22	14060.4 p	13804.4 	13700.9 	12998.0 	11961.6 	11707.4 	11156.1 	10925.1 	10579.3 	10424.8 
nl23	13714.1 p	13556.4 	13151.3 	12408.2 	11320.4 	11499.9 	11106.8 	10355.9 	10526.7 	10556.0 
nl31	15503.8 p	15527.5 	16267.1 	14671.7 	13152.9 	12874.3 	12889.9 	11984.5 	11697.0 	11282.6 
nl32	15412.0 p	15163.2 	15715.8 	14404.3 	12983.9 	12591.5 	12213.7 	11678.3 	11413.8 	11254.4 
nl33	14507.0 p	14552.5 	14677.0 	13678.2 	12295.1 	11927.4 	11759.7 	11162.4 	11016.5 	10727.1 
nl34	13685.2 p	13619.2 	13384.4 	12488.3 	12152.1 	11249.5 	11297.0 	10780.5 	10765.5 	10342.9 
nl41	14190.6 p	14043.6 	14070.1 	13226.6 	12455.5 	11680.9 	11244.9 	10959.8 	10876.1 	10445.2 
nl42	14078.3 p	13938.7 	13720.2 	13372.0 	11989.7 	11627.2 	10949.2 	10632.9 	10499.5 	10225.5 
at11	17288.0 i	16261.4 i	15527.8 i	15286.4 i	14822.3 i	14098.4 i	13464.4 i	13060.3 i	13124.1 i	13233.6 i
at12	18109.0 i	17556.9 i	16888.0 i	16768.5 i	16422.6 i	15618.0 i	14903.8 i	14451.1 i	14870.6 i	14779.0 i
at13	18963.5 i	18544.8 i	18260.8 i	18153.8 i	18248.8 i	17421.7 i	16813.4 i	16610.2 i	17137.0 i	17021.0 i
at21	16586.2 i	16021.7 i	15412.4 i	15197.7 i	14825.3 i	13972.6 i	13487.3 i	13177.3 i	13413.3 i	13411.9 i
at22	16696.8 i	16190.2 i	15611.9 i	15413.4 i	15155.4 i	14324.2 i	13764.5 i	13459.0 i	13763.5 i	13668.2 i
at31	17265.9 i	16541.2 i	15993.5 i	15891.9 i	15641.4 i	14743.9 i	14318.6 i	13903.0 i	14231.8 i	14176.5 i
at32	17874.3 i	17305.2 i	16603.6 i	16484.8 i	16421.2 i	15318.5 i	14786.3 i	14324.0 i	14816.9 i	14769.6 i
at33	17566.6 i	17106.4 i	16467.1 i	16041.2 i	15575.5 i	14595.8 i	14086.1 i	13660.5 i	14239.1 i	14217.1 i
at34	18058.0 i	17630.0 i	17155.9 i	16872.4 i	16808.2 i	15449.4 i	15045.4 i	14385.4 i	14918.7 i	14895.2 i
pl11	3537.7 	3396.0 	3768.4 	3801.1 	3241.7 	2772.1 	2715.7 	2455.1 	2156.8 	1890.1 
pl12	4447.8 	4318.9 	4870.8 	5003.8 	4267.4 	3577.9 	3527.0 	3135.2 	2736.1 	2355.2 
pl21	3156.3 	3074.2 	3483.2 	3529.8 	3069.5 	2646.4 	2645.9 	2387.1 	2114.9 	1820.1 
pl22	3953.5 	3879.8 	4309.5 	4398.6 	3746.5 	3205.5 	3136.3 	2843.9 	2572.8 	2230.2 
pl31	2887.9 	2792.8 	3107.1 	3187.5 	2654.5 	2297.4 	2323.1 	2130.4 	1894.0 	1632.0 
pl32	2690.4 	2623.5 	2932.4 	3040.3 	2595.8 	2235.0 	2204.7 	1993.2 	1755.7 	1528.8 
pl33	3067.5 	2988.8 	3273.0 	3314.2 	2849.8 	2392.9 	2328.6 	2104.4 	1855.2 	1590.0 
